Country,Gender,Percentage,Survey_year,Age_group
Romania,Girl,28.0,2022,15-year-olds
Romania,Boy,18.0,2022,15-year-olds
Ireland,Girl,25.0,2022,15-year-olds
Ireland,Boy,13.0,2022,15-year-olds
Malta,Girl,24.0,2022,15-year-olds
Malta,Boy,13.0,2022,15-year-olds
Albania,Girl,23.0,2022,15-year-olds
Albania,Boy,12.0,2022,15-year-olds
Bulgaria,Girl,19.0,2022,15-year-olds
Bulgaria,Boy,15.0,2022,15-year-olds
Israel,Girl,19.0,2022,15-year-olds
Israel,Boy,13.0,2022,15-year-olds
Greece,Girl,21.0,2022,15-year-olds
Greece,Boy,10.0,2022,15-year-olds
North Macedonia,Girl,19.0,2022,15-year-olds
North Macedonia,Boy,11.0,2022,15-year-olds
Kyrgyzstan ,Girl,17.0,2022,15-year-olds
Kyrgyzstan ,Boy,12.0,2022,15-year-olds
Cyprus,Girl,20.0,2022,15-year-olds
Cyprus,Boy,8.0,2022,15-year-olds
Croatia,Girl,16.0,2022,15-year-olds
Croatia,Boy,12.0,2022,15-year-olds
Scotland,Girl,19.0,2022,15-year-olds
Scotland,Boy,9.0,2022,15-year-olds
Italy,Girl,19.0,2022,15-year-olds
Italy,Boy,8.0,2022,15-year-olds
Belgium (French),Girl,17.0,2022,15-year-olds
Belgium (French),Boy,9.0,2022,15-year-olds
Kazakhstan,Girl,15.0,2022,15-year-olds
Kazakhstan,Boy,11.0,2022,15-year-olds
Wales,Girl,17.0,2022,15-year-olds
Wales,Boy,7.0,2022,15-year-olds
Poland,Girl,14.0,2022,15-year-olds
Poland,Boy,10.0,2022,15-year-olds
Republic of Moldova,Girl,16.0,2022,15-year-olds
Republic of Moldova,Boy,7.0,2022,15-year-olds
Armenia,Girl,13.0,2022,15-year-olds
Armenia,Boy,10.0,2022,15-year-olds
England,Girl,16.0,2022,15-year-olds
England,Boy,6.0,2022,15-year-olds
Slovenia,Girl,12.0,2022,15-year-olds
Slovenia,Boy,9.0,2022,15-year-olds
Serbia,Girl,12.0,2022,15-year-olds
Serbia,Boy,9.0,2022,15-year-olds
Finland,Girl,8.0,2022,15-year-olds
Finland,Boy,12.0,2022,15-year-olds
Luxembourg,Girl,14.0,2022,15-year-olds
Luxembourg,Boy,6.0,2022,15-year-olds
Canada,Girl,13.0,2022,15-year-olds
Canada,Boy,6.0,2022,15-year-olds
Austria,Girl,12.0,2022,15-year-olds
Austria,Boy,8.0,2022,15-year-olds
Spain,Girl,13.0,2022,15-year-olds
Spain,Boy,6.0,2022,15-year-olds
Iceland,Girl,9.0,2022,15-year-olds
Iceland,Boy,9.0,2022,15-year-olds
Tajikistan,Girl,8.0,2022,15-year-olds
Tajikistan,Boy,10.0,2022,15-year-olds
Portugal,Girl,10.0,2022,15-year-olds
Portugal,Boy,7.0,2022,15-year-olds
Germany,Girl,10.0,2022,15-year-olds
Germany,Boy,7.0,2022,15-year-olds
Belgium (Flemish),Girl,10.0,2022,15-year-olds
Belgium (Flemish),Boy,7.0,2022,15-year-olds
Lithuania,Girl,10.0,2022,15-year-olds
Lithuania,Boy,6.0,2022,15-year-olds
Sweden,Girl,10.0,2022,15-year-olds
Sweden,Boy,5.0,2022,15-year-olds
Switzerland,Girl,11.0,2022,15-year-olds
Switzerland,Boy,4.0,2022,15-year-olds
Norway,Girl,8.0,2022,15-year-olds
Norway,Boy,6.0,2022,15-year-olds
Czechia,Girl,9.0,2022,15-year-olds
Czechia,Boy,4.0,2022,15-year-olds
Latvia,Girl,10.0,2022,15-year-olds
Latvia,Boy,3.0,2022,15-year-olds
Estonia,Girl,8.0,2022,15-year-olds
Estonia,Boy,6.0,2022,15-year-olds
France,Girl,10.0,2022,15-year-olds
France,Boy,4.0,2022,15-year-olds
Denmark,Girl,7.0,2022,15-year-olds
Denmark,Boy,6.0,2022,15-year-olds
Hungary,Girl,9.0,2022,15-year-olds
Hungary,Boy,3.0,2022,15-year-olds
Netherlands ,Girl,7.0,2022,15-year-olds
Netherlands ,Boy,3.0,2022,15-year-olds
